Time_s,Current_A,Temperature_K,State_x,DeltaT_K
0.03646472223212749,0.0001131830649683252,300.00041256074195,0.2997376620769501,0.0004125607419496191
0.03818913304781854,0.00011318796896375716,300.0004320644329,0.2997252643108368,0.00043206443291410324
0.039995090972036657,0.00011316893505863845,300.0004524862918,0.29971227049827576,0.0004524862918060535
0.04188645235435271,0.00011318103497615084,300.00047387539485,0.29969868063926697,0.0004738753948458907
0.04386725591048499,0.00011317062308080494,300.0004962730554,0.29968443512916565,0.0004962730553756955
0.04594173134636476,0.00011315155279589817,300.0005197249904,0.2996695339679718,0.0005197249903972079
0.0481143083900326,0.00011319539771648124,300.000544294446,0.29965391755104065,0.0005442944460014587
0.050389626250651506,0.00011318006727378815,300.0005700211546,0.2996375858783722,0.0005700211546013634
0.052772543524835375,0.00011316210293443874,300.0005969589394,0.29962047934532166,0.0005969589394112518
0.05526814857144603,0.00011317463940940797,300.00062517235995,0.29960256814956665,0.0006251723599461911
0.05788177037701274,0.00011320137127768248,300.0006547254655,0.2995837926864624,0.000654725465494721
0.06061898993497572,0.0001132152829086408,300.00068567828436,0.2995641529560089,0.0006856782843556175
0.06348565216305217,0.00011313975846860558,300.0007180713908,0.299543559551239,0.0007180713907928293
0.06648787838417262,0.00011315657320665196,300.00075199941904,0.2995220124721527,0.0007519994190374746
0.06963207939763882,0.0001131863973569125,300.0007875390914,0.2994994521141052,0.0007875390913909541
0.07292496916841444,0.00011313460709061474,300.00082473997986,0.2994758188724518,0.0008247399798619881
0.07637357916378024,0.00011317666212562472,300.0008637119685,0.29945108294487,0.0008637119685204198
0.07998527336796712,0.00011312856804579496,300.00090450668523,0.2994251847267151,0.0009045066852308992
0.0837677640068292,0.000113169830001425,300.0009472430252,0.2993980646133423,0.0009472430252230879
0.08772912801613361,0.00011320174962747842,300.00099200953804,0.2993696630001068,0.000992009538038019
0.09187782428863335,0.00011317469761706889,300.00103887802726,0.2993399202823639,0.0010388780272592157
0.0962227117367514,0.0001131580866058357,300.0010879515339,0.29930877685546875,0.0010879515339183854
0.10077306820944612,0.00011316425661789253,300.0011393439548,0.2992761731147766,0.0011393439547759954
0.10553861030365236,0.00011314534640405327,300.0011931526897,0.2992420494556427,0.001193152689722865
0.11052951411260215,0.00011315249867038801,300.0012495041027,0.29920631647109985,0.0012495041027023035
0.11575643695533042,0.00011317618191242218,300.0013085267134,0.2991688847541809,0.0013085267133874368
0.12123054013376522,0.00011317333701299503,300.0013703323222,0.2991296947002411,0.0013703323222102881
0.12696351276599735,0.00011317235475871712,300.00143505289145,0.2990886867046356,0.00143505289145196
0.13296759674662126,0.00011316139716655016,300.00150281955223,0.29904574155807495,0.0015028195522290844
0.13925561288744634,0.00011316934251226485,300.0015737871598,0.2990007698535919,0.0015737871598275888
0.14584098829439862,0.00011316078598611057,300.0016480956123,0.29895371198654175,0.001648095612324596
0.1527377850390714,0.00011314467701595277,300.00172589649884,0.2989044487476349,0.0017258964988400294
0.1599607301861488,0.0001131363824242726,300.001807359082,0.2988528609275818,0.0018073590820222307
0.16752524724082155,0.00011316981544950977,300.0018926866912,0.2987988591194153,0.001892686691178369
0.17544748908334595,0.00011316075688228011,300.001982028415,0.2987423241138458,0.001982028415000059
0.18374437246107267,0.00011316897143842652,300.002075586735,0.29868313670158386,0.002075586734974877
0.192433614111598,0.00011313235154375434,300.0021735209536,0.29862117767333984,0.0021735209535904687
0.20153376859417332,0.00011315198935335502,300.0022760860905,0.2985563278198242,0.0022760860904895708
0.21106426791015548,0.00011313475260976702,300.0023834650799,0.29848843812942505,0.0023834650799017254
0.22104546299710215,0.00011310971603961661,300.0024958750773,0.2984173893928528,0.002495875077272558
0.23149866718511608,0.00011314969015074894,300.0026136186525,0.2983430027961731,0.0026136186525036464
0.24244620170823283,0.0001131395110860467,300.00273689277327,0.29826515913009644,0.002736892773270938
0.25391144336803473,0.00011314637231407687,300.0028659754405,0.2981836795806885,0.002865975440499824
0.2659188744512694,0.00011314269795548171,300.0030011262665,0.2980984151363373,0.0030011262664970673
0.2784941350080644,0.00011313753202557564,300.0031426270672,0.29800915718078613,0.0031426270671772727
0.2916640776023705,0.00011313496361253783,300.0032907778882,0.2979157567024231,0.0032907778881963168
0.30545682465154333,0.00011313083086861297,300.0034458872094,0.29781800508499146,0.003445887209409193
0.31990182847750653,0.00011311828711768612,300.0036082676444,0.2977157235145569,0.003608267644381158
0.33502993419772314,0.00011314358562231064,300.00377831500555,0.2976086735725403,0.0037783150055474835
0.35087344559027134,0.0001131246899603866,300.00395631879786,0.29749664664268494,0.003956318797861513
0.367466194073669,0.000113119043817278,300.0041426705355,0.29737943410873413,0.004142670535486559
0.3848436109487431,0.00011310265108477324,300.004337740049,0.29725679755210876,0.004337740048981686
0.40304280305680523,0.0001130940654547885,300.00454194607795,0.29712849855422974,0.004541946077949888
0.4221026320156901,0.00011310545960441232,300.00475575102166,0.29699426889419556,0.004755751021662036
0.4420637972028532,0.00011309845285722986,300.0049795654261,0.29685384035110474,0.004979565426083354
0.46296892266272655,0.00011305510997772217,300.0052137776173,0.2967069149017334,0.005213777617314008
0.48486264812390806,0.00011307697423035279,300.0054590085659,0.29655322432518005,0.005459008565878776
0.5077917243205401,0.00011308721877867356,300.0057157448393,0.2963924705982208,0.005715744839278614
0.53180511282142,0.00011308517423458397,300.0059844910333,0.29622432589530945,0.005984491033302675
0.5569540905800133,0.00011307963723083958,300.0062657939341,0.29604846239089966,0.006265793934119301
0.5832923594286206,0.00011309638648526743,300.0065602920616,0.2958645522594452,0.006560292061578821
0.610876160750504,0.00011307811655569822,300.00686850031246,0.295672208070755,0.006868500312464221
0.639764395574843,0.00011307614477118477,300.0071910957567,0.29547107219696045,0.007191095756695631
0.670018750350959,0.00011307567183393985,300.0075287455026,0.29526078701019287,0.0075287455026114
0.701703828670383,0.00011303898645564914,300.0078820274892,0.29504090547561646,0.007882027489188204
