time_s,I_level1_A,I_level2_A,I_level3_A,norm_I_level1,norm_I_level2,norm_I_level3
214.2037490358383,1.690600928646473e-05,-6.39628620057767e-06,-8.332793387101852e-05,0.9999994147534652,0.999999414753465,0.9999994147534651
224.32475028984157,1.6906008818948424e-05,-6.396286023695709e-06,-8.332793156668003e-05,0.9999993870996279,0.9999993870996278,0.9999993870996278
234.9239629049658,1.6906008329342262e-05,-6.396285838456184e-06,-8.3327929153463e-05,0.9999993581391637,0.9999993581391637,0.9999993581391639
246.02398208697775,1.6906007816602512e-05,-6.3962856444642055e-06,-8.332792662622293e-05,0.9999993278103356,0.9999993278103356,0.9999993278103356
257.64847065183744,1.6906007279636126e-05,-6.396285441306226e-06,-8.332792397957233e-05,0.9999992960484891,0.9999992960484891,0.9999992960484891
269.82220946965333,1.6906006717298413e-05,-6.396285228549159e-06,-8.332792120786915e-05,0.9999992627859152,0.9999992627859152,0.9999992627859152
282.5711502920827,1.6906006128390595e-05,-6.396285005739454e-06,-8.332791830520473e-05,0.9999992279517054,0.9999992279517055,0.9999992279517055
295.9224710757957,1.690600551165725e-05,-6.3962847724021275e-06,-8.332791526539122e-05,0.999999191471601,0.9999991914716009,0.9999991914716011
309.9046339199427,1.690600486578364e-05,-6.39628452803976e-06,-8.332791208194843e-05,0.9999991532678344,0.9999991532678345,0.9999991532678345
324.54744574113255,1.690600418939291e-05,-6.3962842721314246e-06,-8.332790874808997e-05,0.9999991132589641,0.999999113258964,0.9999991132589642
339.8821218152667,1.6906003481043142e-05,-6.3962840041315816e-06,-8.33279052567088e-05,0.9999990713596997,0.9999990713596997,0.9999990713596998
355.9413523216862,1.6906002739224297e-05,-6.3962837234689145e-06,-8.332790160036206e-05,0.9999990274807216,0.9999990274807214,0.9999990274807216
372.7593720314938,1.6906001962354982e-05,-6.396283429545116e-06,-8.332789777125528e-05,0.9999989815284896,0.9999989815284895,0.9999989815284896
390.37203328860846,1.6906001148779087e-05,-6.396283121733604e-06,-8.332789376122564e-05,0.999998933405044,0.999998933405044,0.9999989334050441
